stage,split,task,semantic_family,original_parameter,runtime_purity,event,prefix,operator_arm,tail_horizon,configured_action_budget,configured_call_budget,actual_usage,safe_success,diagnostic_only,formal_positive_evidence_allowed,new_idea_generated
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_06_lateral_040mm,shared_runtime_known_invalid,24_event_instances,k=2..16,fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":66.21944444444445,""mean_post_detection_actions"":270.375}",0.10648148148148148,True,False,False
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_06_lateral_040mm,shared_runtime_known_invalid,24_event_instances,k=2..16,fresh_h4,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":66.21944444444445,""mean_post_detection_actions"":270.375}",0.0787037037037037,True,False,False
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_06_lateral_040mm,shared_runtime_known_invalid,24_event_instances,k=2..16,hold_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":66.21944444444445,""mean_post_detection_actions"":270.375}",0.21203703703703702,True,False,False
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_06_lateral_040mm,shared_runtime_known_invalid,24_event_instances,k=2..16,rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":66.21944444444445,""mean_post_detection_actions"":270.375}",0.10092592592592593,True,False,False
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_14_lateral_020mm,shared_runtime_known_invalid,24_event_instances,k=2..16,fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":67.625,""mean_post_detection_actions"":276.0}",0.19722222222222222,True,False,False
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_14_lateral_020mm,shared_runtime_known_invalid,24_event_instances,k=2..16,fresh_h4,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":67.625,""mean_post_detection_actions"":276.0}",0.13055555555555556,True,False,False
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_14_lateral_020mm,shared_runtime_known_invalid,24_event_instances,k=2..16,hold_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":67.625,""mean_post_detection_actions"":276.0}",0.25,True,False,False
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_14_lateral_020mm,shared_runtime_known_invalid,24_event_instances,k=2..16,rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":67.625,""mean_post_detection_actions"":276.0}",0.15925925925925927,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_040mm,shared_runtime_known_invalid,24_event_instances,k=2..16,fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.04166666666667,""mean_post_detection_actions"":261.6666666666667}",0.0787037037037037,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_040mm,shared_runtime_known_invalid,24_event_instances,k=2..16,fresh_h4,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.04166666666667,""mean_post_detection_actions"":261.6666666666667}",0.075,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_040mm,shared_runtime_known_invalid,24_event_instances,k=2..16,hold_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.04166666666667,""mean_post_detection_actions"":261.6666666666667}",0.025,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_040mm,shared_runtime_known_invalid,24_event_instances,k=2..16,rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.04166666666667,""mean_post_detection_actions"":261.6666666666667}",0.03888888888888889,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,shared_runtime_known_invalid,24_event_instances,k=2..16,fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.83611111111111,""mean_post_detection_actions"":264.8333333333333}",0.041666666666666664,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,shared_runtime_known_invalid,24_event_instances,k=2..16,fresh_h4,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.83611111111111,""mean_post_detection_actions"":264.8333333333333}",0.027777777777777776,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,shared_runtime_known_invalid,24_event_instances,k=2..16,hold_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.83611111111111,""mean_post_detection_actions"":264.8333333333333}",0.010185185185185186,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,shared_runtime_known_invalid,24_event_instances,k=2..16,rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.83611111111111,""mean_post_detection_actions"":264.8333333333333}",0.014814814814814815,True,False,False
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_06_lateral_040mm,shared_runtime_no_detected_violation,9_event_instances,k=2..16,fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":60.46666666666667,""mean_post_detection_actions"":247.33333333333334}",0.0024691358024691358,True,False,False
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_06_lateral_040mm,shared_runtime_no_detected_violation,9_event_instances,k=2..16,fresh_h4,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":60.46666666666667,""mean_post_detection_actions"":247.33333333333334}",0.0024691358024691358,True,False,False
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_06_lateral_040mm,shared_runtime_no_detected_violation,9_event_instances,k=2..16,hold_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":60.46666666666667,""mean_post_detection_actions"":247.33333333333334}",0.0,True,False,False
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_06_lateral_040mm,shared_runtime_no_detected_violation,9_event_instances,k=2..16,rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":60.46666666666667,""mean_post_detection_actions"":247.33333333333334}",0.0,True,False,False
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_14_lateral_020mm,shared_runtime_no_detected_violation,6_event_instances,k=2..16,fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":62.37777777777778,""mean_post_detection_actions"":255.0}",0.04814814814814815,True,False,False
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_14_lateral_020mm,shared_runtime_no_detected_violation,6_event_instances,k=2..16,fresh_h4,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":62.37777777777778,""mean_post_detection_actions"":255.0}",0.02962962962962963,True,False,False
