cohort,support_group,task,parameter_id,events,prefix_cause_violation_any_rate,prefix_cause_violation_fraction_mean,cause_violation_type_set,diagnostic_only,formal_positive_evidence_allowed,new_idea_generated
all_contaminated,uncovered,put_the_bowl_on_the_stove,future_14_lateral_020mm,4,0.75,0.6944444444444444,"[""future_path_obstacle_contact_at_injection"",""manipulated_object_future_path_obstacle_contact""]",True,False,False
all_contaminated,covered,put_the_bowl_on_the_stove,future_06_lateral_040mm,5,1.0,0.6311111111111112,"[""manipulated_object_future_path_obstacle_contact""]",True,False,False
all_contaminated,uncovered,put_the_bowl_on_the_stove,future_06_lateral_040mm,7,0.7142857142857143,0.6238095238095239,"[""future_path_obstacle_contact_at_injection"",""manipulated_object_future_path_obstacle_contact""]",True,False,False
all_contaminated,covered,put_the_bowl_on_the_stove,future_14_lateral_020mm,8,0.875,0.3736111111111111,"[""manipulated_object_future_path_obstacle_contact""]",True,False,False
all_contaminated,uncovered,put_the_cream_cheese_in_the_bowl,shift_040mm,7,0.0,0.0,"[""misaligned_release_after_target_shift""]",True,False,False
all_contaminated,uncovered,put_the_cream_cheese_in_the_bowl,shift_060mm,9,0.0,0.0,"[""misaligned_release_after_target_shift""]",True,False,False
all_contaminated,covered,put_the_cream_cheese_in_the_bowl,shift_060mm,3,0.0,0.0,"[""misaligned_release_after_target_shift""]",True,False,False
all_contaminated,covered,put_the_cream_cheese_in_the_bowl,shift_040mm,5,0.0,0.0,"[""misaligned_release_after_target_shift""]",True,False,False
replay_valid_subset,uncovered,put_the_bowl_on_the_stove,future_14_lateral_020mm,3,0.6666666666666666,0.6666666666666666,"[""future_path_obstacle_contact_at_injection""]",True,False,False
replay_valid_subset,uncovered,put_the_bowl_on_the_stove,future_06_lateral_040mm,6,0.6666666666666666,0.6666666666666666,"[""future_path_obstacle_contact_at_injection"",""manipulated_object_future_path_obstacle_contact""]",True,False,False
replay_valid_subset,covered,put_the_bowl_on_the_stove,future_14_lateral_020mm,1,0.0,0.0,"[""manipulated_object_future_path_obstacle_contact""]",True,False,False
replay_valid_subset,uncovered,put_the_cream_cheese_in_the_bowl,shift_040mm,7,0.0,0.0,"[""misaligned_release_after_target_shift""]",True,False,False
replay_valid_subset,uncovered,put_the_cream_cheese_in_the_bowl,shift_060mm,9,0.0,0.0,"[""misaligned_release_after_target_shift""]",True,False,False
replay_valid_subset,covered,put_the_cream_cheese_in_the_bowl,shift_060mm,3,0.0,0.0,"[""misaligned_release_after_target_shift""]",True,False,False
replay_valid_subset,covered,put_the_cream_cheese_in_the_bowl,shift_040mm,5,0.0,0.0,"[""misaligned_release_after_target_shift""]",True,False,False
